Date,Open,High,Low,Close,Volume
2023-02-15,9.95,10.50,9.90,10.45,148686
2023-02-16,10.45,11.00,10.40,10.95,147540
2023-02-17,10.95,11.50,10.90,11.45,163722
2023-02-18,11.45,12.00,11.40,11.95,119800
2023-02-19,11.95,12.50,11.90,12.45,166031
2023-02-20,12.45,13.00,12.40,12.95,139635
2023-02-21,12.95,13.50,12.90,13.45,110871
2023-02-22,13.45,14.00,13.40,13.95,135477
2023-02-23,13.95,14.50,13.90,14.45,146460
2023-02-24,14.45,15.00,14.40,14.95,166092
2023-02-25,14.95,15.50,14.90,15.45,148395
2023-02-26,15.45,16.00,15.40,15.95,148968
2023-02-27,15.95,16.50,15.90,16.45,133059
2023-02-28,16.45,17.00,16.40,16.95,168511
2023-03-01,16.95,17.50,16.90,17.45,123092
2023-03-02,17.45,18.00,17.40,17.95,160240
2023-03-03,17.95,18.50,17.90,18.45,150453
2023-03-04,18.45,19.00,18.40,18.95,102645
2023-03-05,18.95,19.50,18.90,19.45,120790
2023-03-06,19.45,20.00,19.40,19.95,143367
2023-03-07,19.95,20.50,19.90,20.45,146226
2023-03-08,20.45,21.00,20.40,20.95,111659
2023-03-09,20.95,21.50,20.90,21.45,157368
2023-03-10,21.45,22.00,21.40,21.95,148848
2023-03-11,21.95,22.50,21.90,22.45,114813
2023-03-12,22.45,23.00,22.40,22.95,142913
2023-03-13,22.95,23.50,22.90,23.45,154880
2023-03-14,23.45,24.00,23.40,23.95,137217
2023-03-15,23.95,24.50,23.90,24.45,102916
2023-03-16,24.45,25.00,24.40,24.95,154660
2023-03-17,24.95,25.50,24.90,25.45,160881
2023-03-18,25.45,26.00,25.40,25.95,169403
2023-03-19,25.95,26.50,25.90,26.45,144227
2023-03-20,26.45,27.00,26.40,26.95,134438
2023-03-21,26.95,27.50,26.90,27.45,163500
2023-03-22,27.45,27.05,26.85,26.85,88283
2023-03-23,26.85,26.45,25.25,26.25,165005
2023-03-24,26.25,25.85,25.05,25.65,148219
2023-03-25,25.65,25.25,24.45,25.05,139703
2023-03-26,25.05,24.65,23.85,24.45,134657
2023-03-27,24.45,24.05,23.25,23.85,133186
2023-03-28,23.85,23.45,22.65,23.25,156922
2023-03-29,23.25,22.85,22.05,22.65,165056
2023-03-30,22.65,22.25,21.45,22.05,154726
2023-03-31,22.05,21.65,20.85,21.45,165952
2023-04-01,21.45,21.05,20.25,20.85,169394
2023-04-02,20.85,20.45,19.65,20.25,168791
2023-04-03,20.25,19.85,19.05,19.65,156984
2023-04-04,19.65,19.25,18.45,19.05,159877
2023-04-05,19.05,18.65,17.85,18.45,148717
2023-04-06,18.45,18.95,18.40,18.95,127505
2023-04-07,18.95,19.45,18.90,19.45,119919
2023-04-08,19.45,19.95,19.40,19.95,123811
2023-04-09,19.95,20.45,19.90,20.45,144593
2023-04-10,20.45,20.95,20.40,20.95,123259
2023-04-11,20.95,21.45,20.90,21.45,140541
2023-04-12,21.45,21.95,21.40,21.95,128184
2023-04-13,21.95,22.45,21.90,22.45,121153
2023-04-14,22.45,22.95,22.40,22.95,165811
2023-04-15,22.95,23.45,22.90,23.45,136970
2023-04-16,23.45,23.95,23.40,23.95,134931
2023-04-17,23.95,24.45,23.90,24.45,145152
2023-04-18,24.45,24.95,24.40,24.95,124097
2023-04-19,24.95,25.45,24.90,25.45,131076
2023-04-20,25.45,25.95,25.40,25.95,155634
2023-04-21,25.95,26.45,25.90,26.45,125838
2023-04-22,26.45,26.95,26.40,26.95,169623
2023-04-23,26.95,27.45,26.90,27.45,146532
2023-04-24,27.45,27.95,27.40,27.95,148951
2023-04-25,27.95,28.45,27.90,28.45,164141
2023-04-26,28.45,28.95,28.40,28.95,147398
2023-04-27,28.95,29.45,28.90,29.45,129193
2023-04-28,29.45,29.95,29.40,29.95,106285
2023-04-29,29.95,30.45,29.90,30.45,130806
2023-04-30,30.45,30.95,30.40,30.95,162517
