Date,Open,High,Low,Close,Volume

2023-01-27,10.08,10.16,10.01,10.04,91000
2023-01-30,10.04,10.12,9.97,10.00,115000
2023-01-31,10.00,10.08,9.94,9.97,100000
2023-02-01,9.97,10.05,9.90,9.93,94000
2023-02-02,9.93,10.02,9.89,9.99,109000
2023-02-03,9.99,10.07,9.95,10.03,97000
2023-02-06,10.03,10.10,9.98,10.05,104000
2023-02-07,10.05,10.13,9.99,10.01,111000
2023-02-08,10.01,10.09,9.96,9.98,90000
2023-02-09,9.98,10.06,9.92,9.95,100000
2023-02-10,9.95,10.04,9.90,10.00,105000
2023-02-13,10.00,10.08,9.96,10.02,95000
2023-02-14,10.05,10.40,10.00,10.35,180000
2023-02-15,10.35,10.75,10.30,10.70,200000
2023-02-16,10.70,11.10,10.65,11.05,220000
2023-02-17,11.05,11.45,11.00,11.40,240000
2023-02-20,11.40,11.80,11.35,11.75,260000
2023-02-21,11.75,12.15,11.70,12.10,280000
2023-02-22,12.10,12.50,12.05,12.45,300000
2023-02-23,12.45,12.85,12.40,12.80,270000
2023-02-24,12.80,13.10,12.75,13.05,250000
2023-02-27,13.00,13.20,12.80,12.85,230000
2023-02-28,12.85,12.90,12.50,12.55,240000
2023-03-01,12.55,12.60,12.20,12.25,260000
2023-03-02,12.25,12.30,11.90,11.95,280000
2023-03-03,12.00,12.40,11.95,12.35,180000
2023-03-06,12.35,12.75,12.30,12.70,200000
2023-03-07,12.70,13.10,12.65,13.05,220000
2023-03-08,13.05,13.45,13.00,13.40,240000
2023-03-09,13.40,13.50,12.80,12.85,260000
2023-03-10,12.85,12.90,12.40,12.45,280000
2023-03-13,12.50,13.00,12.45,12.95,180000
2023-03-14,12.95,13.50,12.90,13.45,210000
2023-03-15,13.45,14.00,13.40,13.95,230000
2023-03-16,13.95,14.50,13.90,14.45,250000
2023-03-17,14.45,15.00,14.40,14.95,270000
2023-03-20,14.95,15.50,14.90,15.45,290000
2023-03-21,15.45,15.80,15.20,15.30,260000
2023-03-22,15.30,15.35,14.80,14.85,270000
2023-03-23,14.85,14.90,14.40,14.45,280000
2023-03-24,14.50,15.00,14.45,14.95,190000
2023-03-27,14.95,15.50,14.90,15.45,220000
2023-03-28,15.45,15.80,15.10,15.15,240000
2023-03-29,15.15,15.20,14.60,14.65,260000
2023-03-30,14.70,15.20,14.65,15.15,200000
2023-03-31,15.15,15.70,15.10,15.65,230000
2023-04-03,15.65,16.20,15.60,16.15,250000
2023-04-04,16.15,16.70,16.10,16.65,270000
2023-04-06,16.65,17.20,16.60,17.15,290000
2023-04-07,17.15,17.50,16.80,16.85,260000
2023-04-10,16.85,16.90,16.30,16.35,280000
2023-04-11,16.35,16.50,16.20,16.30,200000
2023-04-12,16.30,16.40,16.10,16.15,190000
2023-04-13,16.15,16.25,16.00,16.05,180000
2023-04-14,16.05,16.15,15.90,15.95,170000
