Date,Open,High,Low,Close,Volume
2023-01-03,10.00,10.20,9.90,10.15,100000
2023-01-04,10.15,10.30,10.10,10.25,120000
2023-01-05,10.25,10.28,10.05,10.10,95000
2023-01-06,10.10,10.18,9.95,10.08,90000
2023-01-09,10.12,10.35,10.08,10.30,110000
2023-01-10,10.30,10.40,10.25,10.38,105000
2023-01-11,10.38,10.55,10.35,10.50,130000
2023-01-12,10.50,10.52,10.40,10.45,100000
2023-01-13,10.45,10.60,10.42,10.58,125000
2023-01-16,10.60,10.70,10.55,10.65,115000
2023-01-17,10.65,10.75,10.20,10.25,118000
2023-01-18,10.25,10.30,10.00,10.05,105000
2023-01-19,10.05,10.15,9.90,9.95,95000
2023-01-20,9.95,10.20,9.90,10.15,110000
2023-01-23,10.15,10.30,10.10,10.25,120000
2023-01-24,10.25,10.40,10.20,10.35,115000
2023-01-25,10.35,10.50,10.30,10.48,125000
2023-01-26,10.48,10.55,10.20,10.25,118000
2023-01-27,10.25,10.30,10.00,10.05,105000
2023-01-30,10.05,10.15,9.90,9.95,95000
2023-01-31,9.95,10.20,9.90,10.15,110000
2023-02-01,10.15,10.30,10.10,10.25,120000
2023-02-02,10.25,10.40,10.20,10.35,115000
2023-02-03,10.35,10.50,10.30,10.48,125000
2023-02-06,10.48,10.55,10.20,10.25,118000
2023-02-07,10.25,10.30,10.40,10.05,105000
2023-02-08,10.05,10.15,9.90,9.95,95000
2023-02-09,10.35,10.50,10.30,10.48,125000
2023-02-10,10.48,10.55,10.20,10.25,118000
2023-02-11,10.25,10.30,10.00,10.05,105000
2023-02-12,10.65,10.65,10.10,9.95,95000
2023-02-13,10.75,10.75,10.20,9.95,96000
2023-02-14,10.85,10.95,10.30,9.95,98000
